Latitude;Longitude;Line 
37.949156606631064;23.64318208935662;1
37.94509716973799;23.665246555351207;1
37.9552355;23.6802925;1
37.9604095;23.6969304;1
37.9687965;23.6934298;1
37.968347;23.7090441;1
37.9772108;23.7195449;1
37.9760959;23.7256297;1
37.9820958;23.7274626;1
37.9929456;23.7301953;1
37.9995283;23.722839;1
38.00751483506223;23.72802727940956;1
38.011403374873;23.729143078325432;1
38.02026171288618;23.733005459223712;1
38.023870693338594;23.73595358730873;1
38.0328448;23.7447123;1
38.0371241;23.7501217;1
38.0415099;23.7548578;1
38.0572045;23.7713656;1
38.0433749;23.7830457;1
38.0451228;23.7936783;1
38.0562402;23.804941;1
38.0655977;23.8039921;1
38.0745497;23.8079703;1
38.00675407002947;23.699491726643075;2
38.0026101;23.7140398;2
37.9995283;23.722839;2
37.9922822;23.7207199;2
37.98624953252499;23.720839210933928;2
37.9820958;23.7274626;2
37.9803554;23.7330199;2
37.9755029;23.7357427;2
37.9688593;23.7295312;2
37.964338038418184;23.726568290097944;2
37.9576705;23.7283724;2
37.956629712245814;23.734670183005026;2
37.9495601;23.7372326;2
37.940668890782966;23.740780697774923;2
37.9914342;23.6818195;3
37.9878662;23.6940002;3
37.9786654;23.7111631;3
37.9760959;23.7256297;3
37.9755029;23.7357427;3
37.9761258;23.7471036;3
37.97934984463451;23.75287849588745;3
37.9871933;23.7576802;3
37.9932117;23.7635768;3
37.99376495;23.77676297689076;3
37.999184;23.7844745;3
38.0049099;23.7947085;3
38.0090991;23.8057757;3
38.022564;23.8440691;3
38.0225724;23.8447595;3
38.02231715;23.835414957379086;3
38.0225724;23.8447595;3
37.9854072929238;23.870406985250174;3
37.913286685491364;23.89597172156;3
37.93691681665653;23.9447518452654;3
